lemma,pos,rank,dispersion,gloss
을,JKO,1,0.95,object marker
가,JKS,2,0.86,subject marker
는,JX,3,0.95,topic marker
은,ETM,4,0.97,relative/adjectival (past/present)
어,EC,5,0.87,connective/adverbial ending
었,EP,6,0.93,past tense suffix
이다,VCP,7,0.87,to be (copula)
에,JKB,8,0.92,location/direction marker
고,EC,9,0.87,connective/adverbial ending
의,JKG,10,0.98,possessive marker
다,EF,11,0.96,final statement ending
는,ETM,12,0.93,relative/present ending
것,NNB,13,0.86,thing; way
하다,VV,14,0.73,to do
로,JKB,15,0.96,direction/instrument marker
을,ETM,16,0.93,relative/future ending
도,JX,17,0.93,also; too
게,EC,18,0.85,connective/adverbial ending
들,XSN,19,0.96,plural suffix
그,MM,20,0.62,that
있다,VA,21,0.85,to exist; have
에서,JKB,22,0.94,at; in; on (location)
아서,EC,23,0.69,because; since; and then
어,EF,24,0.37,informal final ending
지,EC,25,0.89,connective/adverbial ending
있다,VX,26,0.99,present progressive auxiliary
되다,VV,27,0.79,to become
ㄴ다,EF,28,0.91,verbal present ending
면,EC,29,0.77,if; when; condition
ㅂ니다,EF,30,0.65,formal polite final ending
가다,VV,31,0.50,to go
기,ETN,32,0.97,gerund/nominalizing suffix
와,JKB,33,0.96,and; with
나,NP,34,0.76,I (plain)
이,MM,35,0.76,this
없다,VA,36,0.91,to not have; not exist
수,NNB,37,0.96,way; method; possibility
보다,VV,38,0.72,to see
않다,VX,39,0.94,negative auxiliary
말,NNG,40,0.64,language; speech; talk
사람,NNG,41,0.80,person
아요,EF,42,0.43,informal polite ending
가,JCC,43,0.89,complement marker
하다,VX,44,0.99,causative auxiliary
시,EP,45,0.56,honorific suffix
한,MM,46,0.78,one
는데,EC,47,0.56,but; however; background
며,EC,48,0.99,while; as
오다,VV,49,0.57,to come
구,EF,50,0.14,colloquial final ending
우리,NP,51,0.80,we; our
아니다,VCN,52,0.88,to not be
다,EC,53,0.55,quotative connective
겠,EP,54,0.72,future/intent suffix
때,NNG,55,0.83,time; when
만,JX,56,0.89,only
그,NP,57,0.97,he
그렇다,VA,58,0.60,to be like that
아야,EC,59,0.87,condition/must
던,ETM,60,0.98,retrospective relative
같다,VA,61,0.85,to be the same
주다,VX,62,0.80,auxiliary: do for someone
라,EF,63,0.70,command ending
그러다,VV,64,0.46,to do so; say so
다는,ETM,65,0.98,quotative relative
와,JKB,66,0.97,comitative (with)
안,MAG,67,0.42,not (negative adverb)
아,IC,68,0.11,ah; oh
보다,VX,69,0.76,auxiliary: try doing
그것,NP,70,0.73,it; that thing
지,EF,71,0.51,retrospective final ending
음,ETN,72,0.85,gerund/nominalizing suffix
니,EC,73,0.64,because; since
그런,MM,74,0.52,such; that sort of
또,MAG,75,0.67,again
일,NNG,76,0.91,work; task
니까,EC,77,0.31,because
면서,EC,78,0.92,while; and
